Id,ExpId,Item,Corr
1,zt,vase,J
2,zt,beer,J
3,zt,aria,J
4,zt,lung,J
5,zt,omen,J
6,zt,data,J
7,zt,city,J
8,zt,gene,J
9,zt,rune,J
10,zt,news,J
11,zt,path,J
12,zt,soot,J
13,zt,clan,J
14,zt,pope,J
15,zt,food,J
16,zt,cape,J
17,zt,calf,J
18,zt,ball,J
19,zt,cast,J
20,zt,icon,J
21,zt,mole,J
22,zt,bolt,J
23,zt,case,J
24,zt,bank,J
25,zt,palm,J
26,zt,kiwi,J
27,zt,zest,J
28,zt,band,J
29,zt,knob,J
30,zt,bass,J
31,zt,shop,J
32,zt,chat,J
33,zt,gaze,J
34,zt,curl,J
35,zt,hope,J
36,zt,risk,J
37,zt,show,J
38,zt,hunt,J
39,zt,exit,J
40,zt,copy,J
41,zt,fish,J
42,zt,howl,J
43,zt,sled,J
44,zt,yawn,J
45,zt,pulp,J
46,zt,tawp,F
47,zt,yigh,F
48,zt,kyxt,F
49,zt,lals,F
50,zt,molk,F
51,zt,swyc,F
52,zt,zurz,F
53,zt,shom,F
54,zt,skol,F
55,zt,woff,F
56,zt,creg,F
57,zt,joal,F
58,zt,cazz,F
59,zt,hust,F
60,zt,zamp,F
61,zt,jezz,F
62,zt,omth,F
63,zt,twuc,F
64,zt,ject,F
65,zt,tryt,F
66,zt,klim,F
67,zt,jync,F
68,zt,gwim,F
69,zt,slin,F
70,zt,stos,F
71,zt,dulv,F
72,zt,nanc,F
73,zt,moof,F
74,zt,nops,F
75,zt,bith,F
76,zt,jamf,F
77,zt,cuns,F
78,zt,blel,F
79,zt,kelc,F
80,zt,jofs,F
81,zt,noul,F
82,zt,fune,F
83,zt,skri,F
84,zt,muve,F
85,zt,deab,F
86,zt,gwas,F
87,zt,gwik,F
88,zt,blyl,F
89,zt,dwaf,F
90,zt,nylb,F